position.lat,position.lon,fishing.totalDistanceKm,fishing.averageSpeedKnots,fishing.averageDurationHours,distances.startDistanceFromShoreKm,distances.endDistanceFromShoreKm,distances.startDistanceFromPortKm,distances.endDistanceFromPortKm,regions.eez12Nm,regions.highSeas,regions.eez,vessel.type_fishing,target_risk
11.0165,108.6171,22.55967807122989,5.1157894736842096,,13,17,114.380867,111.02993,[],[],['8484'],1,0
20.8822,113.168,24.91916856329403,2.473684210526316,,83,87,83.83532799999999,87.320312,[],[],['8486'],1,0
22.7764,115.6233,5.071881126440843,1.3888888888888888,,3,4,6.251652,6.997789,[],[],['8486'],1,0
60.4209,166.2058,2.701073020141844,1.3372093018057736,,2,2,4.000535,4.529149,[],[],['5690'],1,0
21.6845,112.3113,24.959618013592824,2.1934426229508186,,5,2,7.589547,11.418507,[],[],['8486'],1,0
21.6014,114.3054,102.5471670088489,2.9049999935229627,,43,36,52.397305,32.312492,['8486'],[],['8486'],1,0
-18.4602,-79.0443,11.302898402809657,0.5403755942420785,,538,530,542.076812,534.225125,[],['63203'],[],1,0
-46.0746,-60.733,6.419827642036527,0.3869565264974239,,394,396,409.797062,412.139625,[],['63203'],[],1,1
20.9323,114.0277,46.2088201829965,1.1781250029802326,,107,95,116.423234,105.519117,[],[],['8486'],1,0
10.9305,108.679,7.863296378100544,2.55,,24,25,122.331172,116.46643,[],[],['8484'],1,0
38.0652,120.0343,17.61820719050197,4.204,,42,46,17.826305,20.253699,[],[],['8486'],1,0
5.9666,100.0827,3.959120638668608,2.255000000000001,,13,11,28.590832,26.420527,[],[],['8483'],1,0
22.4089,117.9882,12.166978210940714,5.328571428571428,,139,143,64.786125,62.345156,[],[],['8486'],1,0
10.9268,108.6937,10.524396061261369,1.6583333333333332,,26,25,121.35607,115.127625,[],[],['8484'],1,0
35.9609,140.7122,3.6350982396141736,3.313043478260869,,1,3,0.0,1.111949,['8487'],[],['8487'],1,0
50.14,0.3293,54.22652010615761,3.485681300384892,,41,34,43.330297,34.458441,[],[],['5677'],1,0
31.0713,126.4943,5.030077319846979,1.6525773195876283,,203,202,239.027406,237.964578,[],[],['21796'],1,0
-45.9595,-60.6738,7.185859233820097,0.492760188203322,,396,397,411.404719,412.4396880000001,[],['63203'],[],1,1
20.4332,111.1236,20.232029858751115,2.813333333333333,,44,51,49.907078,67.81708599999999,[],[],['8486'],1,0
33.6555,123.523,126.86563986140244,3.860106382978724,,158,144,161.826578,147.133797,[],[],['8327'],1,0
20.8349,112.7548,11.403453205775271,2.94,,86,76,89.971031,79.497477,[],[],['8486'],1,0
3.4166,100.9889,10.932732252839816,2.553333333333333,,17,11,18.083352,11.807949,[],[],['8483'],1,0
21.2939,109.1343,13.433950354890612,5.483333333333333,,15,8,13.343392,6.985739,['8486'],[],['8486'],1,0
38.8154,118.4366,6.504954323440471,1.5791666666666664,,14,12,6.671696,5.626792999999999,['8486'],[],['8486'],1,0
10.0051,107.1439,9.73986084838946,1.6235294117647057,,35,36,25.946961,26.80034,[],[],['8484'],1,0
34.578,127.7509,13.853425733847011,3.9136986301369854,,1,1,2.746849,5.604129,[],[],['8327'],1,0
22.0247,115.1873,44.23314930235621,3.472151898734176,,55,65,45.200516,63.407957,['8486'],[],['8486'],1,0
-45.4731,-60.624,0.731051193993516,0.3450000014156103,,382,383,403.54125,404.156531,[],['63203'],[],1,1
42.4417,-9.301,9.603752804909456,2.7948979659348123,,24,21,25.409238,22.067361,['5693'],[],['5693'],1,0
-10.3916,173.556,140.26138493732978,4.731802118645957,,431,457,681.789688,623.957125,[],['63203'],[],1,0
19.3751,105.8766,4.421746352136212,4.438095251719157,,3,2,6.216385,8.585458000000001,['8484'],[],['8484'],1,0
4.9096,-152.8784,51.56851686703946,3.718421061572275,,562,605,577.876938,620.3235,[],['63203'],[],1,0
34.7865,124.0839,67.6561156137406,3.82130177514793,,102,106,103.412039,106.719438,[],[],['8327'],1,0
-45.4048,-60.5201,5.773752336013303,0.5285714350285982,,386,385,410.3890310000001,412.195875,[],['63203'],[],1,1
