MMSI,route_start_time,route_end_time,historical_route_distance_km,historical_duration_hours,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent
680520589,2024-07-02 06:00:42,2024-07-02 08:52:24,62.88588298141983,2.861666666666667,51.0,51,1.4524925016515255,True,0.0,-11.885882981419833,-18.900717327816828
680520589,2024-07-02 18:04:08,2024-07-02 22:42:47,66.2440672488276,4.644166666666667,61.0,61,1.5913079989388248,True,0.0,-5.244067248827605,-7.9162821164493264
680520589,2024-07-03 06:05:21,2024-07-03 09:03:32,57.93551162278536,2.9697222222222224,49.0,49,1.7779119081260861,True,0.0,-8.935511622785363,-15.423203096856971
680520589,2024-07-03 18:14:04,2024-07-03 21:20:23,60.68674049117095,3.105277777777778,37.0,37,1.4077169841546877,True,0.0,-23.68674049117095,-39.03116281985359
680520589,2024-07-04 06:08:48,2024-07-04 09:13:03,59.89267405844872,3.0708333333333333,50.0,50,1.70652371578088,True,0.0,-9.89267405844872,-16.517335740919744
680520589,2024-07-04 18:24:30,2024-07-04 22:54:06,61.83592374556648,4.493333333333333,61.0,61,1.6980744315771772,True,0.0,-0.8359237455664825,-1.3518416074869695
680520589,2024-07-05 06:49:08,2024-07-05 09:00:18,52.94490102063664,2.186111111111111,49.0,49,1.1157273958558118,True,0.0,-3.9449010206366424,-7.450955511464674
680520589,2024-07-05 17:51:33,2024-07-05 21:00:07,59.69081499474828,3.142777777777778,48.0,48,1.3515779633577751,True,0.0,-11.69081499474828,-19.585617981220164
680520589,2024-07-06 05:58:21,2024-07-06 08:54:20,61.796094270193066,2.933055555555556,52.0,52,1.6181034130754437,True,0.0,-9.796094270193066,-15.8522870836485
680520589,2024-07-09 06:07:13,2024-07-09 07:25:22,23.48586691077105,1.3025,15.0,15,1.5989760096303405,True,0.0,-8.485866910771051,-36.131801917344916
680520589,2024-07-09 18:06:04,2024-07-09 22:15:04,69.16925244894095,4.15,61.0,61,1.9093550953373173,True,0.0,-8.169252448940952,-11.810525861865132
680520589,2024-07-10 06:18:20,2024-07-10 09:14:06,66.68985916579665,2.9294444444444445,52.0,52,1.9224480844242555,True,0.0,-14.689859165796648,-22.027125787260115
680520589,2024-07-10 18:32:16,2024-07-10 22:06:22,66.22323621454356,3.5683333333333334,50.0,50,1.4055469360528279,True,0.0,-16.22323621454356,-24.497800382308572
680520589,2024-07-11 05:56:48,2024-07-11 08:26:40,45.36440801402063,2.497777777777778,29.0,29,1.7771931272440047,True,0.0,-16.364408014020633,-36.07323170394495
706899810,2024-07-02 15:01:33,2024-07-03 06:21:10,27.128808072346363,15.326944444444443,22.0,22,1.7101443603074058,True,0.0,-5.128808072346363,-18.905394069171773
706899810,2024-07-21 15:51:20,2024-07-22 15:24:36,63.645766057329496,23.55444444444445,35.0,35,1.094601718438316,True,0.0,-28.645766057329496,-45.00812517760657
706899810,2024-07-23 02:34:56,2024-07-23 04:30:18,45.3126124619201,1.9227777777777777,45.0,45,1.1782084403547723,True,0.0,-0.3126124619200965,-0.6899016519579629
706899810,2024-09-26 13:35:26,2024-09-26 14:37:29,40.33330448946538,1.034166666666667,27.0,27,1.0205202217396177,True,0.0,-13.333304489465377,-33.057803366812884
706899810,2024-09-28 13:08:50,2024-09-29 05:04:37,38.24582673888874,15.929722222222225,31.0,31,1.8165065633534578,True,0.0,-7.245826738888738,-18.945404915305726
743497398,2024-07-01 15:18:59,2024-07-02 07:38:08,40.27534748560579,16.319166666666668,24.0,24,1.750610037250608,True,0.0,-16.275347485605792,-40.410197556762284
743497398,2024-07-05 15:34:40,2024-07-06 03:03:53,51.277508976297526,11.486944444444443,36.0,36,1.5741193879390334,True,0.0,-15.277508976297526,-29.793781486849113
791860098,2024-07-02 20:54:00,2024-07-02 23:30:30,22.919943544634364,2.6083333333333334,61.0,61,1.937629046056014,True,0.0,38.080056455365636,166.14376200887418
791860098,2024-07-15 12:09:58,2024-07-15 16:31:28,50.59488124550779,4.358333333333333,38.0,38,1.4515718712577645,True,0.0,-12.594881245507793,-24.89358791928396
791860098,2024-07-17 21:39:50,2024-07-17 22:37:40,38.43851953269248,0.9638888888888888,22.0,22,1.7254460647864767,True,0.0,-16.43851953269248,-42.76574574811941
791860098,2024-07-17 23:40:21,2024-07-18 18:24:07,149.6669631771907,18.729444444444443,113.0,113,1.62606496592948,True,0.0,-36.666963177190695,-24.499035992185316
791860098,2024-08-04 19:19:07,2024-08-05 19:23:42,148.61560856672875,24.07638888888889,94.0,94,1.3359216096758204,True,0.0,-54.61560856672875,-36.749577714918296
791860098,2024-08-14 02:26:36,2024-08-14 17:28:22,45.423384815616025,15.029444444444444,39.0,39,1.7323312896962197,True,0.0,-6.423384815616025,-14.141140827989862
791860098,2024-08-15 20:25:33,2024-08-15 22:16:46,57.21501903197981,1.853611111111111,48.0,48,1.6802284745931984,True,0.0,-9.215019031979807,-16.105944187188257
