MMSI,segment_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,route_distance_km,direct_distance_km,duration_hours,average_speed_knots,maximum_speed_knots,num_records,moving_records,route_efficiency
241749307,115,2024-07-27 02:19:34,2024-07-27 03:01:58,37.526493333333335,25.28954,37.524791666666665,24.98257333333333,36.003078149039126,27.07032338796728,0.7066666666666667,20.80635838150289,21.200000000000003,173,173,0.7518891378094501
241749307,116,2024-07-28 18:59:18,2024-07-28 20:07:47,37.53143,24.960101666666667,37.55827833333333,25.441916666666668,44.47143499455937,42.47864766763088,1.1413888888888888,20.399193548387096,20.9,248,248,0.9551894979963592
241749307,118,2024-07-30 04:05:15,2024-07-30 07:55:21,37.793956666666666,26.569506666666665,37.527501666666666,24.958475,155.6229426400537,141.81227348743428,3.835,20.43563218390805,21.4,1131,1131,0.9112555712009466
241749307,119,2024-07-30 20:57:44,2024-07-30 22:33:20,37.52321833333333,24.97066833333333,37.60134666666666,25.631801666666668,59.36746404043185,58.27448414391976,1.5933333333333333,20.35700483091788,20.9,207,207,0.981589580855808
241749307,120,2024-08-01 02:43:48,2024-08-01 03:40:37,37.54545333333333,25.38333833333333,37.52234666666666,24.990975,56.5015632542221,34.59734618968688,0.9469444444444444,20.087545787545785,20.5,273,273,0.6123254684834155
241749307,121,2024-08-01 19:45:53,2024-08-01 20:39:29,37.52399666666667,24.961126666666665,37.53857833333333,25.335271666666667,35.63090858925616,32.992054605902915,0.8933333333333333,20.38424657534247,20.8,292,292,0.9259391890963752
241749307,124,2024-08-02 23:46:44,2024-08-03 02:39:31,37.706965,26.160046666666663,37.523495,24.96972,184.20581039964,104.84431734464113,2.879722222222222,20.156981132075472,20.9,1060,1060,0.5691694367141745
241749307,125,2024-08-04 19:19:36,2024-08-04 20:16:13,37.522515,24.971343333333333,37.54051833333333,25.371446666666667,35.43029749892928,35.28094920653034,0.9436111111111112,20.367281105990788,21.0,217,217,0.9957847293717064
241749307,130,2024-08-06 03:46:39,2024-08-06 06:42:40,37.716355,26.19532833333333,37.52542,24.97601166666667,145.90380842205482,107.38955931454132,2.933611111111111,20.56764705882353,21.200000000000003,374,374,0.7360298574516737
241749307,131,2024-08-06 19:54:54,2024-08-06 21:41:24,37.52721666666667,24.972986666666667,37.619926666666665,25.727815,66.81197652669567,66.5229554703911,1.775,20.617127071823205,21.0,181,181,0.995674113065805
