MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_vs_baseline_difference_km,ppo_vs_historical_difference_km,baseline_vs_historical_difference_km
345727782,2024-09-13 15:02:28,2024-09-14 01:18:42,28.28875699153497,69.92762231810033,10.270555555555555,49.0,49,222.82847694691677,1.744338535649369,True,485.0,-20.927622318100333,-29.927547404515924,20.927622318100333,2024-09-14 01:18:42,69.92762231810033,10.270555555555555,64.0,64,1.928071976387836,True,0.0,-5.927622318100333,-8.476796609979981,-15.0,-20.927622318100333,-5.927622318100333
385831098,2024-07-01 09:59:34,2024-07-02 01:17:27,124.2915731773121,133.43566492246248,15.298055555555557,139.0,139,687.7573159839983,1.8973857658409172,True,1035.0,5.564335077537521,4.170050848677432,-5.564335077537521,2024-07-02 01:17:27,133.43566492246248,15.298055555555557,137.0,137,1.8585012736155304,True,0.0,3.564335077537521,2.671201196178476,2.0,5.564335077537521,3.564335077537521
385831098,2024-07-02 21:00:31,2024-07-02 23:38:03,37.46683636654504,68.27473002650356,2.625555555555556,61.0,61,269.0700165018294,1.2654895497659973,True,440.0,-7.274730026503562,-10.655084280347332,7.274730026503562,2024-07-02 23:38:03,68.27473002650356,2.625555555555556,55.0,55,1.656263543487965,True,0.0,-13.274730026503562,-19.44310877736235,6.0,-7.274730026503562,-13.274730026503562
385831098,2024-07-29 10:06:07,2024-07-29 19:10:22,129.1311328414196,209.0781782895803,9.070833333333333,159.0,159,709.2735541265279,1.889685330531564,True,1200.0,-50.07817828958031,-23.951891440444992,50.07817828958031,2024-07-29 19:10:22,209.0781782895803,9.070833333333333,160.0,160,1.2473164762642903,True,0.0,-49.07817828958031,-23.473601449504397,-1.0,-50.07817828958031,-49.07817828958031
385831098,2024-08-01 15:53:11,2024-08-01 22:13:17,204.8320264469744,230.9547525165915,6.335,250.0,250,1047.589534009277,1.7060370869300463,True,1770.0,19.045247483408502,8.246311139252402,-19.045247483408502,2024-08-01 22:13:17,230.9547525165915,6.335,208.0,208,1.1265991930952926,True,0.0,-22.954752516591498,-9.939069132142002,42.0,19.045247483408502,-22.954752516591498
385831098,2024-08-05 10:00:44,2024-08-06 01:48:51,125.00261203575312,185.3329012761596,15.801944444444445,145.0,145,692.1559041806253,1.5304889840612148,True,1090.0,-40.33290127615959,-21.76240753715964,40.33290127615959,2024-08-06 01:48:51,185.3329012761596,15.801944444444445,144.0,144,1.447266512936796,True,0.0,-41.33290127615959,-22.30197714035164,1.0,-40.33290127615959,-41.33290127615959
385831098,2024-08-19 10:04:06,2024-08-20 02:33:50,131.438736119264,170.22977101637483,16.495555555555555,162.0,162,717.6456285830377,1.7447814051715174,True,1360.0,-8.229771016374826,-4.834507481998072,8.229771016374826,2024-08-20 02:33:50,170.22977101637483,16.495555555555555,164.0,164,1.837951775534392,True,0.0,-6.229771016374826,-3.6596248583190354,-2.0,-8.229771016374826,-6.229771016374826
396636589,2024-09-11 02:29:21,2024-09-11 17:07:43,52.84456824916731,62.17740763956197,14.639444444444443,56.0,56,345.3856471287466,1.650995400606516,True,370.0,-6.17740763956197,-9.935132187195652,6.17740763956197,2024-09-11 17:07:43,62.17740763956197,14.639444444444443,61.0,61,1.218253704364404,True,0.0,-1.17740763956197,-1.8936261324809789,-5.0,-6.17740763956197,-1.1774076395619701
406647606,2024-07-09 00:47:50,2024-07-09 07:37:33,57.50224054518704,57.80834325601729,6.828611111111111,63.0,63,369.1102890647684,1.5604708348678915,True,420.0,5.191656743982712,8.980808740686944,-5.191656743982712,2024-07-09 07:37:33,57.80834325601729,6.828611111111111,66.0,66,1.2974516212772624,True,0.0,8.191656743982712,14.170371061672036,-3.0,5.191656743982712,8.191656743982712
406647606,2024-07-09 09:28:33,2024-07-09 23:37:14,34.43415650158197,76.99633554141869,14.144722222222224,91.0,91,239.2003159952504,1.9893806348985688,True,700.0,14.003664458581312,18.187442766088928,-14.003664458581312,2024-07-09 23:37:14,76.99633554141869,14.144722222222224,60.0,60,1.8711806988060529,True,0.0,-16.996335541418688,-22.074213560820485,31.0,14.003664458581312,-16.996335541418688
406647606,2024-09-03 00:56:11,2024-09-03 22:50:47,43.66905914095662,101.221134809467,21.91,46.0,46,301.08963797772003,1.6706544363514866,True,305.0,-55.221134809467,-54.55494538113228,55.221134809467,2024-09-03 22:50:47,101.221134809467,21.91,51.0,51,1.245175553661645,True,0.0,-50.221134809467,-49.61526553125536,-5.0,-55.221134809467,-50.221134809467
493087308,2024-08-07 03:07:11,2024-08-07 20:10:13,34.6747033270761,39.99975231046316,17.050555555555555,38.0,38,262.13500334159016,1.0137646858921523,True,280.0,-1.9997523104631585,-4.999411733707316,1.9997523104631585,2024-08-07 20:10:13,39.99975231046316,17.050555555555555,36.0,36,1.4991818722066632,True,0.0,-3.9997523104631583,-9.999442695091142,2.0,-1.9997523104631583,-3.9997523104631583
680520589,2024-07-01 05:30:54,2024-07-01 08:17:38,27.702525256987023,46.234133303284125,2.778888888888889,59.0,59,211.35864666469757,1.159731579361457,True,490.0,12.765866696715875,27.611346389852372,-12.765866696715875,2024-07-01 08:17:38,46.234133303284125,2.778888888888889,31.0,31,1.4149674354184316,True,0.0,-15.234133303284125,-32.94997054092502,28.0,12.765866696715875,-15.234133303284125
